Company,Description,Rating,Category
La Casa de las Carcasas,Great,84.5,computer-technology-and-sound
Press Start,Great,93.0,computer-technology-and-sound
CeX,Great,81.6,computer-technology-and-sound
Player,Good,73.5,computer-technology-and-sound
Império Multimédia,Great,94.1,computer-technology-and-sound
Infocomputer Portugal,Great,89.8,computer-technology-and-sound
nanoChip,Great,82.4,computer-technology-and-sound
RECONDICIONADOS.PT,Great,92.3,computer-technology-and-sound
DVD.pt,Great,83.1,computer-technology-and-sound
fmTEK - Informatica,Reasonable,52.6,computer-technology-and-sound
Rhinocamera.pt,Good,62.0,computer-technology-and-sound
Colorfoto,Unsatisfactory,15.6,computer-technology-and-sound
Niobo,No data,,computer-technology-and-sound
CDGO.COM,Good,79.9,computer-technology-and-sound
Centro Sony,Reasonable,55.8,computer-technology-and-sound
Thomann,Reasonable,51.1,computer-technology-and-sound
Fujifilm,Good,79.2,computer-technology-and-sound
SONY,Weak,21.3,computer-technology-and-sound
Nikon,Unsatisfactory,12.4,computer-technology-and-sound
OLX,Great,86.0,internet-sites-and-business
CustoJusto.pt,Great,81.9,internet-sites-and-business
Coisas.com,Reasonable,55.9,internet-sites-and-business
Joom,Great,94.1,internet-sites-and-business
LightInTheBox,Reasonable,46.0,internet-sites-and-business
MiniIntheBox,Weak,35.8,internet-sites-and-business
Eurocupon,Good,75.6,internet-sites-and-business
TopVendas,Good,70.8,internet-sites-and-business
Livoo,Good,62.4,internet-sites-and-business
KuantoKusta,Great,84.1,internet-sites-and-business
Shopping.pt,Good,78.1,internet-sites-and-business
Dott,Good,67.0,internet-sites-and-business
Mercadão,Great,93.4,internet-sites-and-business
360 Hyper,Good,76.7,internet-sites-and-business
Eupoupo.com,Weak,29.9,internet-sites-and-business
Levas.me,Great,92.2,internet-sites-and-business
BestPrice,Great,83.2,internet-sites-and-business
iCare-Market,Great,80.8,internet-sites-and-business
Comparamais,Great,83.3,internet-sites-and-business
Selectra,Good,70.4,internet-sites-and-business
ComparaJá.pt,Reasonable,55.0,internet-sites-and-business
Standvirtual,Great,85.3,internet-sites-and-business
Abmotor,No data,,internet-sites-and-business
Imovirtual,Great,82.3,internet-sites-and-business
Nolon Portugal,Weak,26.5,internet-sites-and-business
MaisConsultores,Unsatisfactory,8.7,internet-sites-and-business
Habitissimo,Good,67.7,internet-sites-and-business
Vortal,Good,60.3,internet-sites-and-business
Oscar,Reasonable,51.3,internet-sites-and-business
LiveCareer,Reasonable,52.1,internet-sites-and-business
Indeed,Unsatisfactory,19.0,internet-sites-and-business
NetEmprego,Unsatisfactory,10.0,internet-sites-and-business
RealFevr,Great,82.3,internet-sites-and-business
Meetic,Reasonable,46.7,internet-sites-and-business
Twoo,Reasonable,44.6,internet-sites-and-business
Easy Marca,Good,69.8,internet-sites-and-business
Certidao-nascimento-pt.org,Reasonable,58.8,internet-sites-and-business
RegistoPredial.com,Weak,30.4,internet-sites-and-business
Manheim,Great,81.7,internet-sites-and-business
Oportunity Leilões,Good,75.6,internet-sites-and-business
Bidding Leilões,Good,60.4,internet-sites-and-business
Equifax,Great,81.8,internet-sites-and-business
Portugalio,Reasonable,59.5,internet-sites-and-business
eInforma,Weak,32.5,internet-sites-and-business
HomyCasa,Great,82.0,furniture-decoration-and-appliances
Vente-unique.pt,Great,80.8,furniture-decoration-and-appliances
Conforama,Good,76.9,furniture-decoration-and-appliances
D+ Sofás,Reasonable,58.1,furniture-decoration-and-appliances
Golden Sofás,Reasonable,52.0,furniture-decoration-and-appliances
Sofás Zone,Reasonable,51.1,furniture-decoration-and-appliances
Flama,Great,90.0,furniture-decoration-and-appliances
Rowenta,Great,82.9,furniture-decoration-and-appliances
Rainbow Portugal,Good,68.3,furniture-decoration-and-appliances
VidaXL,Great,87.2,furniture-decoration-and-appliances
Hôma,Great,86.0,furniture-decoration-and-appliances
Casika,Great,81.2,furniture-decoration-and-appliances
Digital Place,Great,88.0,furniture-decoration-and-appliances
Electro Pescador,Good,79.4,furniture-decoration-and-appliances
STOCK in,Good,77.2,furniture-decoration-and-appliances
Beliani,Great,81.1,furniture-decoration-and-appliances
Cadeiraspro.pt,Good,79.4,furniture-decoration-and-appliances
Kenay Home,Good,76.6,furniture-decoration-and-appliances
Molaflex,Great,92.8,furniture-decoration-and-appliances
Colchão Emma,Great,84.0,furniture-decoration-and-appliances
O meu Colchão,Great,80.9,furniture-decoration-and-appliances
Loja das Facas,Good,68.6,furniture-decoration-and-appliances
Tupperware,Weak,23.5,furniture-decoration-and-appliances
Bodum,Unsatisfactory,13.2,furniture-decoration-and-appliances
Artys,Good,70.6,furniture-decoration-and-appliances
Magenta Decoração,Reasonable,55.8,furniture-decoration-and-appliances
Interdesign,Reasonable,49.5,furniture-decoration-and-appliances
Capas & Capas,Great,86.8,furniture-decoration-and-appliances
Sellone,Great,83.2,furniture-decoration-and-appliances
Sensatoferta,Great,80.0,furniture-decoration-and-appliances
Master Dental,Great,88.0,health
Clínica Santa Madalena,Great,87.4,health
Smile.Up,Great,81.1,health
Óculos Para Todos,Great,98.5,health
Grupo Optivisão,Great,89.9,health
Opticenter,Great,86.8,health
My Pharma Spot,Great,93.4,health
Wayfarma,Great,86.3,health
Wells,Good,79.4,health
Cintramédica,Good,67.0,health
Trofa Saúde,Reasonable,58.4,health
Lusíadas Saúde,Reasonable,42.4,health
Acústica Médica,Great,86.4,health
Auditiv,Great,82.9,health
O Meu Doutor Reabilitação Auditiva Portugal,Good,76.7,health
Hospital de Lamego,Great,82.6,health
Hospital Distrital de Chaves,Good,77.1,health
Centro Hospitalar Trás os Montes e Alto Douro,Good,73.8,health
Asminhaslentes.pt,Weak,38.7,health
Alensa,Weak,33.9,health
Visão e Visual,No data,,health
Essilor,Good,69.8,health
ZEISS Vision Care,Weak,34.4,health
Shamir Optical,No data,,health
Affidea Portugal,Great,91.2,health
Clínica da Mente,Good,75.0,health
Dr. Well's,Good,74.4,health
Posturarte,Great,87.8,health
Tempur,Good,73.1,health
Quirumed,Good,70.6,health
INEM,Reasonable,47.6,health
Palvidas,Unsatisfactory,2.6,health
Ambulâncias Força de Viver,Unsatisfactory,1.5,health
Unilabs,Reasonable,49.0,health
LabMED Saúde,Reasonable,42.8,health
SYNLAB,Weak,24.8,health
BebéCord,Good,75.6,health
Bayer Portugal,Reasonable,40.3,health
Pfizer Portugal,Weak,34.0,health
Bebé4D,Good,77.3,health
Radis,Weak,33.9,health
CENEU,Weak,28.1,health
Casa de Saúde São Mateus,Weak,35.6,health
Residências Montepio,Weak,32.0,health
Sanfil,Weak,28.3,health
Centro de Saúde de Carnaxide,Reasonable,57.4,health
Centro de Saúde de Sete Rios,Reasonable,43.3,health
Centro de Saúde de Estremoz,Weak,36.8,health
Quirónprevención,Good,78.5,health
Acção Contínua,Good,76.5,health
AtlantiCare,Good,73.0,health
Óptica24,Good,70.4,health
Fábrica de Óculos do Cacém,Good,64.1,health
Edel-Optics.pt,Reasonable,49.5,health
CMD Bolhão - Ortodontia,Good,61.5,health
Centro Ortodôntico Avenida da Liberdade,Weak,33.8,health
Clínica Dentária Egas Moniz,Weak,31.0,health
Allianz,Good,76.7,auto-life-insurance and health-plans
Zurich,Good,76.5,auto-life-insurance and health-plans
Ageas Seguros,Good,76.1,auto-life-insurance and health-plans
Seguro Directo,Good,71.2,auto-life-insurance and health-plans
NSeguros,Reasonable,54.6,auto-life-insurance and health-plans
Seguros Logo,Reasonable,51.8,auto-life-insurance and health-plans
Saúde Prime,Great,81.6,auto-life-insurance and health-plans
Agilcare,Great,80.2,auto-life-insurance and health-plans
Sorriso Mais,Great,80.1,auto-life-insurance and health-plans
Médis,Great,87.6,auto-life-insurance and health-plans
MGEN Saúde,Great,86.7,auto-life-insurance and health-plans
AdvanceCare,Good,72.2,auto-life-insurance and health-plans
April,Great,80.4,auto-life-insurance and health-plans
Real Vida Seguros,Good,67.2,auto-life-insurance and health-plans
Aegon Santander Portugal,Good,64.0,auto-life-insurance and health-plans
SPB Ibérica,Great,82.4,auto-life-insurance and health-plans
SNG Garantia Automóvel,Good,74.1,auto-life-insurance and health-plans
GTS Garantia Automóvel,Good,61.1,auto-life-insurance and health-plans
Solera Portugal,Reasonable,47.8,auto-life-insurance and health-plans
DEKRA CLAIMS,Weak,26.5,auto-life-insurance and health-plans
Dualperi,Weak,20.8,auto-life-insurance and health-plans
Câmara Municipal da Nazaré,Great,90.9,services-and-public-administration
Câmara Municipal de Alcochete,Great,81.2,services-and-public-administration
Câmara Municipal de Lagos,Good,74.6,services-and-public-administration
Imprensa Nacional Casa da Moeda,Great,91.7,services-and-public-administration
IEFP,Great,89.2,services-and-public-administration
IMT,Great,82.0,services-and-public-administration
ADSE,Good,62.2,services-and-public-administration
Caixa Geral de Aposentações,Weak,25.9,services-and-public-administration
Centro Nacional de Pensões,Unsatisfactory,16.9,services-and-public-administration
Autoridade Tributária e Aduaneira,Great,90.8,services-and-public-administration
DGEG,Great,88.0,services-and-public-administration
ANSR,Great,86.7,services-and-public-administration
EMEM,Great,83.3,services-and-public-administration
MatosinhosHabit,Great,81.8,services-and-public-administration
Ágora,Reasonable,46.4,services-and-public-administration
SEF,Unsatisfactory,16.8,services-and-public-administration
Polícia Municipal do Porto,Unsatisfactory,14.6,services-and-public-administration
PSP,Unsatisfactory,12.2,services-and-public-administration
UBER,Reasonable,43.4,public-transport-hire-and-drive
ANTRAL,Weak,37.3,public-transport-hire-and-drive
FREE NOW,Weak,35.9,public-transport-hire-and-drive
Galp,Great,88.0,public-transport-hire-and-drive
Repsol,Good,79.5,public-transport-hire-and-drive
Prio Energy,Good,75.0,public-transport-hire-and-drive
SMTUC,Great,82.4,public-transport-hire-and-drive
STCP,Good,69.1,public-transport-hire-and-drive
TST - Transportes Sul do Tejo,Good,64.4,public-transport-hire-and-drive
Metro de Lisboa,Reasonable,40.9,public-transport-hire-and-drive
Metro do Porto,Weak,33.7,public-transport-hire-and-drive
Refer,Weak,31.0,public-transport-hire-and-drive
Discovercars.com,Good,77.3,public-transport-hire-and-drive
BeRent - Rent a Car,Good,76.8,public-transport-hire-and-drive
Sixt,Good,76.3,public-transport-hire-and-drive
Ubirider,Great,88.6,public-transport-hire-and-drive
Andante,Good,71.9,public-transport-hire-and-drive
Navegante,Unsatisfactory,10.0,public-transport-hire-and-drive
Globalvia,Good,62.9,public-transport-hire-and-drive
Scutvias,Reasonable,54.2,public-transport-hire-and-drive
Portvias,Weak,35.7,public-transport-hire-and-drive
Busy Transportes,No data,,public-transport-hire-and-drive
Carrinho de Esferas,No data,,public-transport-hire-and-drive
Rodinhas,No data,,public-transport-hire-and-drive
Rodoviária do Lis,Good,67.7,public-transport-hire-and-drive
Yellow Bus / Aerobus,Good,67.0,public-transport-hire-and-drive
FlixBus,Reasonable,57.1,public-transport-hire-and-drive
Jump,Good,74.8,public-transport-hire-and-drive
ACCIONA Motosharing,Weak,33.8,public-transport-hire-and-drive
Bird,Unsatisfactory,10.8,public-transport-hire-and-drive
Escolas de Condução Bordalo Norte,Good,69.8,public-transport-hire-and-drive
Segurança Máxima - Escolas de Condução,Weak,32.3,public-transport-hire-and-drive
Escola de Condução Radical,Weak,27.8,public-transport-hire-and-drive
Loures Parque,Reasonable,55.1,public-transport-hire-and-drive
Datarede,Reasonable,41.6,public-transport-hire-and-drive
CPE - Companhia de Parques de Estacionamento,Weak,35.5,public-transport-hire-and-drive
Atlantic Ferries,Weak,21.8,public-transport-hire-and-drive
Transtejo,Unsatisfactory,9.2,public-transport-hire-and-drive
Rentdouro,Unsatisfactory,1.5,public-transport-hire-and-drive
