Empresa,Descrição,Nota,Categoria
Samsonite,Razoável,51.1,hoteis-viagens-e-turismo
Império das Malas,Fraco,20.5,hoteis-viagens-e-turismo
Destinia,Óptimo,86,hoteis-viagens-e-turismo
iCliGo,Bom,62.2,hoteis-viagens-e-turismo
Flykube,Razoável,50,hoteis-viagens-e-turismo
Grupo Interpass,Bom,66.7,hoteis-viagens-e-turismo
Odisseias,Bom,62.1,hoteis-viagens-e-turismo
Goodlife,Razoável,59.7,hoteis-viagens-e-turismo
Hotéis Vila Galé,Razoável,48.3,hoteis-viagens-e-turismo
SANA Hotels,Razoável,47.2,hoteis-viagens-e-turismo
Luna Hoteis,Razoável,46.5,hoteis-viagens-e-turismo
Groundforce Portugal,Razoável,49.6,hoteis-viagens-e-turismo
Portway,Fraco,26.4,hoteis-viagens-e-turismo
ANA Aeroportos de Portugal,Insatisfatório,4.4,hoteis-viagens-e-turismo
Hotel da Montanha,Razoável,45,hoteis-viagens-e-turismo
Clube Praia da Rocha,Insatisfatório,10,hoteis-viagens-e-turismo
Smart Studios,Insatisfatório,10,hoteis-viagens-e-turismo
Ideal Casa,Fraco,35.9,hoteis-viagens-e-turismo
Costa Cruzeiros,Fraco,31.6,hoteis-viagens-e-turismo
Flytime,Insatisfatório,17.4,hoteis-viagens-e-turismo
Traventia,Bom,67.4,hoteis-viagens-e-turismo
Stayforlong,Razoável,53.9,hoteis-viagens-e-turismo
Uniplaces,Razoável,52.7,hoteis-viagens-e-turismo
Worten,Óptimo,87.2,informatica-tecnologia-e-som
Radio Popular,Bom,74.2,informatica-tecnologia-e-som
FNAC,Fraco,21.1,informatica-tecnologia-e-som
Powerplanetonline,Óptimo,86.2,informatica-tecnologia-e-som
iServices,Óptimo,85,informatica-tecnologia-e-som
iStore,Óptimo,82.9,informatica-tecnologia-e-som
Globaldata,Excelente,92.2,informatica-tecnologia-e-som
PcComponentes,Óptimo,87.4,informatica-tecnologia-e-som
PCDIGA,Óptimo,84.4,informatica-tecnologia-e-som
Aquário Electrónica,Óptimo,85.8,informatica-tecnologia-e-som
Castro Electrónica,Óptimo,85.8,informatica-tecnologia-e-som
Eradigital,Óptimo,85.3,informatica-tecnologia-e-som
BQ,Razoável,45.3,informatica-tecnologia-e-som
LG Electronics,Fraco,32.7,informatica-tecnologia-e-som
HTC,Fraco,27.2,informatica-tecnologia-e-som
DNS.pt,Óptimo,83.8,informatica-tecnologia-e-som
Dominios.pt,Óptimo,82.8,informatica-tecnologia-e-som
Hostinger,Óptimo,80.8,informatica-tecnologia-e-som
Medion,Bom,66.7,informatica-tecnologia-e-som
Insys,Razoável,57.6,informatica-tecnologia-e-som
TP-LINK,Razoável,55.6,informatica-tecnologia-e-som
Deccare - Sistemas de Informação,Óptimo,82,informatica-tecnologia-e-som
YOU GET,Óptimo,80.6,informatica-tecnologia-e-som
CSTech Portugal,Bom,77.4,informatica-tecnologia-e-som
Pelicula de Vidro,Excelente,99.1,informatica-tecnologia-e-som
Lmobile,Excelente,96.5,informatica-tecnologia-e-som
La Casa de las Carcasas,Óptimo,84.5,informatica-tecnologia-e-som
Press Start,Excelente,93,informatica-tecnologia-e-som
CeX,Óptimo,81.6,informatica-tecnologia-e-som
Player,Bom,73.5,informatica-tecnologia-e-som
Império Multimédia,Excelente,94.1,informatica-tecnologia-e-som
Infocomputer Portugal,Óptimo,89.8,informatica-tecnologia-e-som
nanoChip,Óptimo,82.4,informatica-tecnologia-e-som
RECONDICIONADOS.PT,Excelente,92.3,informatica-tecnologia-e-som
DVD.pt,Óptimo,83.1,informatica-tecnologia-e-som
fmTEK - Informatica,Razoável,52.6,informatica-tecnologia-e-som
Rhinocamera.pt,Bom,62,informatica-tecnologia-e-som
Colorfoto,Insatisfatório,15.6,informatica-tecnologia-e-som
Niobo,Sem dados,N/A,informatica-tecnologia-e-som
CDGO.COM,Bom,79.9,informatica-tecnologia-e-som
Centro Sony,Razoável,55.8,informatica-tecnologia-e-som
Thomann,Razoável,51.1,informatica-tecnologia-e-som
Fujifilm,Bom,79.2,informatica-tecnologia-e-som
SONY,Fraco,21.3,informatica-tecnologia-e-som
Nikon,Insatisfatório,12.4,informatica-tecnologia-e-som
OLX,Óptimo,86,internet-sites-e-negocios
CustoJusto.pt,Óptimo,81.9,internet-sites-e-negocios
Coisas.com,Razoável,55.9,internet-sites-e-negocios
Joom,Excelente,94.1,internet-sites-e-negocios
LightInTheBox,Razoável,46,internet-sites-e-negocios
MiniIntheBox,Fraco,35.8,internet-sites-e-negocios
Eurocupon,Bom,75.6,internet-sites-e-negocios
TopVendas,Bom,70.8,internet-sites-e-negocios
Livoo,Bom,62.4,internet-sites-e-negocios
KuantoKusta,Óptimo,84.1,internet-sites-e-negocios
Shopping.pt,Bom,78.1,internet-sites-e-negocios
Dott,Bom,67,internet-sites-e-negocios
Mercadão,Excelente,93.4,internet-sites-e-negocios
360 Hyper,Bom,76.7,internet-sites-e-negocios
Eupoupo.com,Fraco,29.9,internet-sites-e-negocios
Levas.me,Excelente,92.2,internet-sites-e-negocios
BestPrice,Óptimo,83.2,internet-sites-e-negocios
iCare-Market,Óptimo,80.8,internet-sites-e-negocios
Comparamais,Óptimo,83.3,internet-sites-e-negocios
Selectra,Bom,70.4,internet-sites-e-negocios
ComparaJá.pt,Razoável,55,internet-sites-e-negocios
Standvirtual,Óptimo,85.3,internet-sites-e-negocios
Abmotor,Sem dados,N/A,internet-sites-e-negocios
Imovirtual,Óptimo,82.3,internet-sites-e-negocios
Nolon Portugal,Fraco,26.5,internet-sites-e-negocios
MaisConsultores,Insatisfatório,8.7,internet-sites-e-negocios
Habitissimo,Bom,67.7,internet-sites-e-negocios
Vortal,Bom,60.3,internet-sites-e-negocios
Oscar,Razoável,51.3,internet-sites-e-negocios
LiveCareer,Razoável,52.1,internet-sites-e-negocios
Indeed,Insatisfatório,19,internet-sites-e-negocios
NetEmprego,Insatisfatório,10,internet-sites-e-negocios
RealFevr,Óptimo,82.3,internet-sites-e-negocios
Meetic,Razoável,46.7,internet-sites-e-negocios
Twoo,Razoável,44.6,internet-sites-e-negocios
Easy Marca,Bom,69.8,internet-sites-e-negocios
Certidao-nascimento-pt.org,Razoável,58.8,internet-sites-e-negocios
RegistoPredial.com,Fraco,30.4,internet-sites-e-negocios
Manheim,Óptimo,81.7,internet-sites-e-negocios
Oportunity Leilões,Bom,75.6,internet-sites-e-negocios
Bidding Leilões,Bom,60.4,internet-sites-e-negocios
Equifax,Óptimo,81.8,internet-sites-e-negocios
Portugalio,Razoável,59.5,internet-sites-e-negocios
eInforma,Fraco,32.5,internet-sites-e-negocios
HomyCasa,Óptimo,82,mobiliario-decoracao-e-eletrodomesticos
Vente-unique.pt,Óptimo,80.8,mobiliario-decoracao-e-eletrodomesticos
Conforama,Bom,76.9,mobiliario-decoracao-e-eletrodomesticos
D+ Sofás,Razoável,58.1,mobiliario-decoracao-e-eletrodomesticos
Golden Sofás,Razoável,52,mobiliario-decoracao-e-eletrodomesticos
Sofás Zone,Razoável,51.1,mobiliario-decoracao-e-eletrodomesticos
Flama,Excelente,90,mobiliario-decoracao-e-eletrodomesticos
Rowenta,Óptimo,82.9,mobiliario-decoracao-e-eletrodomesticos
Rainbow Portugal,Bom,68.3,mobiliario-decoracao-e-eletrodomesticos
VidaXL,Óptimo,87.2,mobiliario-decoracao-e-eletrodomesticos
Hôma,Óptimo,86,mobiliario-decoracao-e-eletrodomesticos
Casika,Óptimo,81.2,mobiliario-decoracao-e-eletrodomesticos
Digital Place,Óptimo,88,mobiliario-decoracao-e-eletrodomesticos
Electro Pescador,Bom,79.4,mobiliario-decoracao-e-eletrodomesticos
STOCK in,Bom,77.2,mobiliario-decoracao-e-eletrodomesticos
Beliani,Óptimo,81.1,mobiliario-decoracao-e-eletrodomesticos
Cadeiraspro.pt,Bom,79.4,mobiliario-decoracao-e-eletrodomesticos
Kenay Home,Bom,76.6,mobiliario-decoracao-e-eletrodomesticos
Molaflex,Excelente,92.8,mobiliario-decoracao-e-eletrodomesticos
Colchão Emma,Óptimo,84,mobiliario-decoracao-e-eletrodomesticos
O meu Colchão,Óptimo,80.9,mobiliario-decoracao-e-eletrodomesticos
Loja das Facas,Bom,68.6,mobiliario-decoracao-e-eletrodomesticos
Tupperware,Fraco,23.5,mobiliario-decoracao-e-eletrodomesticos
Bodum,Insatisfatório,13.2,mobiliario-decoracao-e-eletrodomesticos
Artys,Bom,70.6,mobiliario-decoracao-e-eletrodomesticos
Magenta Decoração,Razoável,55.8,mobiliario-decoracao-e-eletrodomesticos
Interdesign,Razoável,49.5,mobiliario-decoracao-e-eletrodomesticos
Capas & Capas,Óptimo,86.8,mobiliario-decoracao-e-eletrodomesticos
Sellone,Óptimo,83.2,mobiliario-decoracao-e-eletrodomesticos
Sensatoferta,Óptimo,80,mobiliario-decoracao-e-eletrodomesticos
Master Dental,Óptimo,88,saude
Clínica Santa Madalena,Óptimo,87.4,saude
Smile.Up,Óptimo,81.1,saude
Óculos Para Todos,Excelente,98.5,saude
Grupo Optivisão,Óptimo,89.9,saude
Opticenter,Óptimo,86.8,saude
My Pharma Spot,Excelente,93.4,saude
Wayfarma,Óptimo,86.3,saude
Wells,Bom,79.4,saude
Cintramédica,Bom,67,saude
Trofa Saúde,Razoável,58.4,saude
Lusíadas Saúde,Razoável,42.4,saude
Acústica Médica,Óptimo,86.4,saude
Auditiv,Óptimo,82.9,saude
O Meu Doutor Reabilitação Auditiva Portugal,Bom,76.7,saude
Hospital de Lamego,Óptimo,82.6,saude
Hospital Distrital de Chaves,Bom,77.1,saude
Centro Hospitalar Trás os Montes e Alto Douro,Bom,73.8,saude
Asminhaslentes.pt,Fraco,38.7,saude
Alensa,Fraco,33.9,saude
Visão e Visual,Sem dados,N/A,saude
Essilor,Bom,69.8,saude
ZEISS Vision Care,Fraco,34.4,saude
Shamir Optical,Sem dados,N/A,saude
Affidea Portugal,Excelente,91.2,saude
Clínica da Mente,Bom,75,saude
Dr. Well's,Bom,74.4,saude
Posturarte,Óptimo,87.8,saude
Tempur,Bom,73.1,saude
Quirumed,Bom,70.6,saude
INEM,Razoável,47.6,saude
Palvidas,Insatisfatório,2.6,saude
Ambulâncias Força de Viver,Insatisfatório,1.5,saude
Unilabs,Razoável,49,saude
LabMED Saúde,Razoável,42.8,saude
SYNLAB,Fraco,24.8,saude
BebéCord,Bom,75.6,saude
Bayer Portugal,Razoável,40.3,saude
Pfizer Portugal,Fraco,34,saude
Bebé4D,Bom,77.3,saude
Radis,Fraco,33.9,saude
CENEU,Fraco,28.1,saude
Casa de Saúde São Mateus,Fraco,35.6,saude
Residências Montepio,Fraco,32,saude
Sanfil,Fraco,28.3,saude
Centro de Saúde de Carnaxide,Razoável,57.4,saude
Centro de Saúde de Sete Rios,Razoável,43.3,saude
Centro de Saúde de Estremoz,Fraco,36.8,saude
Quirónprevención,Bom,78.5,saude
Acção Contínua,Bom,76.5,saude
AtlantiCare,Bom,73,saude
Óptica24,Bom,70.4,saude
Fábrica de Óculos do Cacém,Bom,64.1,saude
Edel-Optics.pt,Razoável,49.5,saude
CMD Bolhão - Ortodontia,Bom,61.5,saude
Centro Ortodôntico Avenida da Liberdade,Fraco,33.8,saude
Clínica Dentária Egas Moniz,Fraco,31,saude
Allianz,Bom,76.7,seguros-vida-auto-e-planos-de-saude
Zurich,Bom,76.5,seguros-vida-auto-e-planos-de-saude
Ageas Seguros,Bom,76.1,seguros-vida-auto-e-planos-de-saude
Seguro Directo,Bom,71.2,seguros-vida-auto-e-planos-de-saude
NSeguros,Razoável,54.6,seguros-vida-auto-e-planos-de-saude
Seguros Logo,Razoável,51.8,seguros-vida-auto-e-planos-de-saude
Saúde Prime,Óptimo,81.6,seguros-vida-auto-e-planos-de-saude
Agilcare,Óptimo,80.2,seguros-vida-auto-e-planos-de-saude
Sorriso Mais,Óptimo,80.1,seguros-vida-auto-e-planos-de-saude
Médis,Óptimo,87.6,seguros-vida-auto-e-planos-de-saude
MGEN Saúde,Óptimo,86.7,seguros-vida-auto-e-planos-de-saude
AdvanceCare,Bom,72.2,seguros-vida-auto-e-planos-de-saude
April,Óptimo,80.4,seguros-vida-auto-e-planos-de-saude
Real Vida Seguros,Bom,67.2,seguros-vida-auto-e-planos-de-saude
Aegon Santander Portugal,Bom,64,seguros-vida-auto-e-planos-de-saude
SPB Ibérica,Óptimo,82.4,seguros-vida-auto-e-planos-de-saude
SNG Garantia Automóvel,Bom,74.1,seguros-vida-auto-e-planos-de-saude
GTS Garantia Automóvel,Bom,61.1,seguros-vida-auto-e-planos-de-saude
Solera Portugal,Razoável,47.8,seguros-vida-auto-e-planos-de-saude
DEKRA CLAIMS,Fraco,26.5,seguros-vida-auto-e-planos-de-saude
Dualperi,Fraco,20.8,seguros-vida-auto-e-planos-de-saude
Câmara Municipal da Nazaré,Excelente,90.9,servicos-e-administracao-publica
Câmara Municipal de Alcochete,Óptimo,81.2,servicos-e-administracao-publica
Câmara Municipal de Lagos,Bom,74.6,servicos-e-administracao-publica
Imprensa Nacional Casa da Moeda,Excelente,91.7,servicos-e-administracao-publica
IEFP,Óptimo,89.2,servicos-e-administracao-publica
IMT,Óptimo,82,servicos-e-administracao-publica
ADSE,Bom,62.2,servicos-e-administracao-publica
Caixa Geral de Aposentações,Fraco,25.9,servicos-e-administracao-publica
Centro Nacional de Pensões,Insatisfatório,16.9,servicos-e-administracao-publica
Autoridade Tributária e Aduaneira,Excelente,90.8,servicos-e-administracao-publica
DGEG,Óptimo,88,servicos-e-administracao-publica
ANSR,Óptimo,86.7,servicos-e-administracao-publica
EMEM,Óptimo,83.3,servicos-e-administracao-publica
MatosinhosHabit,Óptimo,81.8,servicos-e-administracao-publica
Ágora,Razoável,46.4,servicos-e-administracao-publica
SEF,Insatisfatório,16.8,servicos-e-administracao-publica
Polícia Municipal do Porto,Insatisfatório,14.6,servicos-e-administracao-publica
PSP,Insatisfatório,12.2,servicos-e-administracao-publica
UBER,Razoável,43.4,transportes-publicos-aluguer-e-conducao
ANTRAL,Fraco,37.3,transportes-publicos-aluguer-e-conducao
FREE NOW,Fraco,35.9,transportes-publicos-aluguer-e-conducao
Galp,Óptimo,88,transportes-publicos-aluguer-e-conducao
Repsol,Bom,79.5,transportes-publicos-aluguer-e-conducao
Prio Energy,Bom,75,transportes-publicos-aluguer-e-conducao
SMTUC,Óptimo,82.4,transportes-publicos-aluguer-e-conducao
STCP,Bom,69.1,transportes-publicos-aluguer-e-conducao
TST - Transportes Sul do Tejo,Bom,64.4,transportes-publicos-aluguer-e-conducao
Metro de Lisboa,Razoável,40.9,transportes-publicos-aluguer-e-conducao
Metro do Porto,Fraco,33.7,transportes-publicos-aluguer-e-conducao
Refer,Fraco,31,transportes-publicos-aluguer-e-conducao
Discovercars.com,Bom,77.3,transportes-publicos-aluguer-e-conducao
BeRent - Rent a Car,Bom,76.8,transportes-publicos-aluguer-e-conducao
Sixt,Bom,76.3,transportes-publicos-aluguer-e-conducao
Ubirider,Óptimo,88.6,transportes-publicos-aluguer-e-conducao
Andante,Bom,71.9,transportes-publicos-aluguer-e-conducao
Navegante,Insatisfatório,10,transportes-publicos-aluguer-e-conducao
Globalvia,Bom,62.9,transportes-publicos-aluguer-e-conducao
Scutvias,Razoável,54.2,transportes-publicos-aluguer-e-conducao
Portvias,Fraco,35.7,transportes-publicos-aluguer-e-conducao
Busy Transportes,Sem dados,N/A,transportes-publicos-aluguer-e-conducao
Carrinho de Esferas,Sem dados,N/A,transportes-publicos-aluguer-e-conducao
Rodinhas,Sem dados,N/A,transportes-publicos-aluguer-e-conducao
Rodoviária do Lis,Bom,67.7,transportes-publicos-aluguer-e-conducao
Yellow Bus / Aerobus,Bom,67,transportes-publicos-aluguer-e-conducao
FlixBus,Razoável,57.1,transportes-publicos-aluguer-e-conducao
Jump,Bom,74.8,transportes-publicos-aluguer-e-conducao
ACCIONA Motosharing,Fraco,33.8,transportes-publicos-aluguer-e-conducao
Bird,Insatisfatório,10.8,transportes-publicos-aluguer-e-conducao
Escolas de Condução Bordalo Norte,Bom,69.8,transportes-publicos-aluguer-e-conducao
Segurança Máxima - Escolas de Condução,Fraco,32.3,transportes-publicos-aluguer-e-conducao
Escola de Condução Radical,Fraco,27.8,transportes-publicos-aluguer-e-conducao
Loures Parque,Razoável,55.1,transportes-publicos-aluguer-e-conducao
Datarede,Razoável,41.6,transportes-publicos-aluguer-e-conducao
CPE - Companhia de Parques de Estacionamento,Fraco,35.5,transportes-publicos-aluguer-e-conducao
Atlantic Ferries,Fraco,21.8,transportes-publicos-aluguer-e-conducao
Transtejo,Insatisfatório,9.2,transportes-publicos-aluguer-e-conducao
Rentdouro,Insatisfatório,1.5,transportes-publicos-aluguer-e-conducao
